administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,country,establishment,floor,hospital,lat,lng,locality,location_type,neighborhood,political,postal_code,postal_code_suffix,premise,route,street_number,subpremise
Colorado,Rio Grande County,,,United States,,,HOSPITAL VALE DO RIO GRANDE,37.674237,-106.3642497,Del Norte,ROOFTOP,,,81132,,,County Road 14,310,
São Paulo,Tremembé,,,Brazil,,,HOSPITAL BOM JESUS DE TREMEMBE,-22.959396,-45.550024,,ROOFTOP,,Centro,12120-000,,,Praça Padre Luiz Balmes,s/n,
Minas Gerais,São Lourenço,,,Brazil,,,HOSPITAL SAO LOURENCO,-22.120499,-45.04747589999999,,ROOFTOP,,Nossa de Fátima,37470-000,,,Rua Ida Mascarenhas Lage,310,
São Paulo,Piraju,,,Brazil,,,HOSPITAL DE PIRAJU,-23.196907,-49.381288,,ROOFTOP,,Centro,18800-000,,,Rua Sete de Setembro,818,
São Paulo,Votuporanga,,,Brazil,,,SANTA CASA DE VOTUPORANGA,-20.4264509,-49.9785552,,ROOFTOP,,Cidade Nova,15500-003,,,Rua Minas Gerais,3051,
São Paulo,Tupi Paulista,,,Brazil,,,SANTA CASA DE TUPI PAULISTA,-21.3934359,-51.5743979,,ROOFTOP,,Centro,17930-000,,,Rua Almirante Barroso,1436,
São Paulo,Serra Negra,,,Brazil,,,HOSPITAL SANTA ROSA DE LIMA DE SERRA NEGRA,-22.6084843,-46.70574269999999,,ROOFTOP,,Centro,13930-000,,,Avenida Santos Pinto,351,
São Paulo,Jarinu,,,Brazil,,,UNIDADE MISTA DE SAUDE DE JARINU MONSENHOR JACOB CONTI,-23.1103438,-46.72515689999999,,ROOFTOP,,Fim do Campo,13240-000,,,Avenida Ernesto de Moraes,655,
São Paulo,Lucélia,,,Brazil,,,SANTA CASA DE LUCELIA,-21.728063,-51.0101442,,ROOFTOP,,Centro,17780-000,,,Rua Manoel Lopes,410,
São Paulo,Limeira,,,Brazil,,,SANTA CASA DE LIMEIRA,-22.5793093,-47.4003746,,ROOFTOP,,Vila Claudia,13480-470,,,Avenida Antonio Ometto,675,
São Paulo,Jaci,,,Brazil,,,HOSPITAL NOSSA SENHORA DA DIVINA PROVIDENCIA,-20.8828436,-49.5677864,,ROOFTOP,,Centro,15155-000,,,Rua Maria Joana do Amaral Mendonça,950,
São Paulo,Sorocaba,,,Brazil,,,HOSPITAL MENTAL SOROCABA,-23.5042508,-47.462758,,ROOFTOP,,Centro,18035-190,,,Rua Sarutaia,171,
São Paulo,Campinas,,,Brazil,,,BOLDRINI CAMPINAS,-22.8084095,-47.0644605,,ROOFTOP,,Cidade Universitária,13083-210,,,Rua Doutor Gabriel Porto,1270,
São Paulo,Campinas,,,Brazil,,,HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS,-22.9161093,-47.0685528,,ROOFTOP,,Parque Italia,13036-902,,,Avenida Prefeito Faria Lima,340,
,,,,,,,HOSPITAL DIA E UNIDADE DE INFECTOLOGIA WILLIAN ROCHA,,,,,,,,,,,,
São Paulo,Guaratinguetá,,,Brazil,,,SANTA CASA DE MISERICORDIA DE GUARATINGUETA,-22.8215027,-45.1916064,,ROOFTOP,,Centro,12501-090,,,Rua Rangel Pestana,194,
São Paulo,Guaraçaí,,,Brazil,,,HOSPITAL E MATERNIDADE DE GUARACAI,-21.0340181,-51.2061979,,ROOFTOP,,,16980-000,,,Rua Benedito Ben Hur Louzada,1210,
São Paulo,Salto de Pirapora,,,Brazil,,,HOSPITAL PSIQUIATRICO SANTA CRUZ SALTO DE PIRAPORA,-23.597722,-47.53734240000001,,ROOFTOP,,,18160-000,,,"Rodoviária João Leme Santos, Km 113",S/n,
São Paulo,Itararé,,,Brazil,,,SANTA CASA DE MISERICORDIA DE ITARARE,-24.1162726,-49.34562890000001,,ROOFTOP,,CENTRO,18460-000,,,Rua São Pedro,30,
São Paulo,Espírito Santo do Pinhal,,,Brazil,,,CLINICA DE REPOUSO SANTA ROSA ESPIRITO SANTO DO PINHAL,-22.1957949,-46.7628158,,ROOFTOP,,Jardim Pedro Corsi,13990-000,,,Rua José Antônio Fernandes,290,
São Paulo,Riolândia,,,Brazil,,,SANTA CASA DE RIOLANDIA,-19.981917,-49.6775847,,GEOMETRIC_CENTER,,,15495-000,,,,,
Minas Gerais,Belo Horizonte,,,Brazil,,,SANTA CASA DE MISERICORDIA SAO LUCAS,-19.9247154,-43.92557009999999,,ROOFTOP,,Santa Efigênia,30150-221,,,Avenida Francisco Sales,1111,
São Paulo,Guaratinguetá,,,Brazil,,,HOSPITAL FREI GALVAO,-22.8151522,-45.1846118,,ROOFTOP,,Vila Santa Rita,12502-380,,,Rua Domingos Leme,77,
São Paulo,General Salgado,,,Brazil,,,SANTA CASA DE GENERAL SALGADO,-20.6477039,-50.3583426,,ROOFTOP,,Jardim Prima,15300-000,,,Rua Nadir García,555,
São Paulo,Ipaussu,,,Brazil,,,SANTA CASA DE IPAUCU,-23.052204,-49.62409,,ROOFTOP,,Centro,18950-000,,,Rua Rui Barbosa,451,
São Paulo,Sorocaba,,,Brazil,,,CONJUNTO HOSPITALAR SOROCABA,-23.5093571,-47.4581972,,ROOFTOP,,LAGEADO,18030-005,,,Avenida Comendador Pereira Inácio,564,
São Paulo,Descalvado,,,Brazil,,,SANTA CASA DESCALVADO,-21.9069916,-47.61621350000001,,ROOFTOP,,Centro,13690-000,,,Pc Dr Otávio Gabrielli,827,
São Paulo,Lins,,,Brazil,,,CAIS CLEMENTE FERREIRA DE LINS,-21.6366247,-49.7737651,,ROOFTOP,,Zona Rural,16430-000,,,Estrada lins guaiçara Km 4,s/n,
Texas,Collin County,,,United States,,,SEARA HOSPITAL PSIQUIATRICO,33.1506607,-96.8374072,Frisco,ROOFTOP,,,75034,3308,,Frisco Square Boulevard,5680,3000
São Paulo,Auriflama,,,Brazil,,,SANTA CASA DE AURIFLAMA,-20.6853222,-50.5548791,,ROOFTOP,,Centro,15350-000,,,R. Alfredo Dainese,59,
São Paulo,Brotas,,,Brazil,,,HOSPITAL SANTA THEREZINHA BROTAS,-22.2863545,-48.12215279999999,,ROOFTOP,,Centro,17380-000,,,Avenida Rui Barbosa,703,
São Paulo,Macaubal,,,Brazil,,,SANTA CASA DE MACAUBAL,-20.8078978,-49.9632893,,ROOFTOP,,Centro,15270-000,,,Rua Sete de Setembro,1203,
São Paulo,Alto Alegre,,,Brazil,,,HOSPITAL PADRE JOAO W BRAEM,-21.581084,-50.1637968,,ROOFTOP,,CENTRO,16310-000,,,Avenida Doutor Acir Alves Leite,185,
São Paulo,Guararapes,,,Brazil,,,SANTA CASA DE GUARARAPES,-21.251167,-50.6492927,,ROOFTOP,,CENTRO,16700-000,,,Avenida Marechal Floriano,1602,
São Paulo,Iguape,,,Brazil,,,UNIDADE MISTA DE IGUAPE,-24.7115956,-47.5596655,,GEOMETRIC_CENTER,,,11920-000,,,Rua dos Estudantes,,
São Paulo,Rancharia,,,Brazil,,,HOSPITAL E MATERNIDADE DE RANCHARIA,-22.2334141,-50.8962548,,ROOFTOP,,Vila Regina,19600-000,,,Rua Mario César de Camargo,1559,
São Paulo,Vargem Grande do Sul,,,Brazil,,,HOSPITAL DE CARIDADE DE VARGEM GRANDE DO SUL,-21.8381718,-46.8991112,,ROOFTOP,,Centro,13880-000,,,Praça Nossa Senhora Aparecida,61,
São Paulo,Campinas,,,Brazil,,,CASA DE SAUDE CAMPINAS,-22.9082074,-47.0548239,,ROOFTOP,,Centro,13015-240,,,Praça Doutor Tófoli,28,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN DR ARTHUR RIBEIRO DE SABOYA,-23.6533687,-46.6456814,,ROOFTOP,,Jabaquara,04330-020,,,Avenida Francisco de Paula Quintanilha Ribeiro,860,
São Paulo,Borborema,,,Brazil,,,HOSPITAL SAO SEBASTIAO DE BORBOREMA,-21.6163889,-49.06883130000001,,ROOFTOP,,Jardim Primavera,14955-000,,,Rua Pedro José Passos,400,
São Paulo,Cardoso,,,Brazil,,,SANTA CASA DE CARDOSO,-20.0804982,-49.9187842,,ROOFTOP,,,15570-000,,,Rua Emílio Fernandes Bilar,1650,
São Paulo,Apiaí,,,Brazil,,,HOSPITAL DR ADHEMAR DE BARROS APIAI,-24.5153468,-48.8428868,,ROOFTOP,,Centro,18320-000,,,Rua Primeiro de Maio,336,
São Paulo,Campinas,,,Brazil,,,HOSPITAL E MATERNIDADE CELSO PIERRO,-22.9206194,-47.1200381,,ROOFTOP,,Jardim Londres,13034-685,,,Avenida John Boyd Dunlop,S/N,
São Paulo,Birigui,,,Brazil,,,HOSPITAL FELICIO LUCHINI BIRIGUI,-21.2849621,-50.3352572,,GEOMETRIC_CENTER,,Vila Silvares,16201-006,,,Rua Braz Sanches Arriaga,,
São Paulo,Americana,,,Brazil,,,HOSPITAL SAO FRANCISCO DE AMERICANA,-22.7466938,-47.3294751,,ROOFTOP,,Vila Galo,13466-319,,,Praça Francisco Matarazzo,60,
,,,,Brazil,,,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,-21.1628095,-47.8514871,,ROOFTOP,,Vila Monte Alegre,14048-900,,,Avenida dos Bandeirantes,3900,
São Paulo,Amparo,,,Brazil,,,BENEFICENCIA PORTUGUESA DE AMPARO,-22.7068503,-46.7708006,,ROOFTOP,,Centro,13900-400,,,Avenida Bernardino de Campos,207,
São Paulo,Barueri,,,Brazil,,,PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES,-23.5110963,-46.8722104,,ROOFTOP,,Centro,06401-120,,,Rua Professor João da Mata e Luz,262,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO,-23.4441691,-46.7179616,,ROOFTOP,,Parada De Taipas,02810-000,,,Avenida Elísio Teixeira Leite,6999,
São Paulo,Amparo,,,Brazil,,,SANATORIO ISMAEL,-22.6978129,-46.7698815,,ROOFTOP,,São Judas,13901-290,,,Rua Santo Bruschini,152,
São Paulo,Guarulhos,,,Brazil,,,CASAS ANDRE LUIZ GUARULHOS,-23.4376158,-46.5449446,,ROOFTOP,,Picanço,07082-050,,,Avenida André Luiz,723,
São Paulo,São Sebastião da Grama,,,Brazil,,,SANTA CASA DE GRAMA,-21.7088286,-46.8250153,,ROOFTOP,,Centro,13790-000,,,Rua Nove de Julho,286,
São Paulo,São Bernardo do Campo,,,Brazil,,,HOSPITAL LACAN,-23.7111461,-46.5680491,,ROOFTOP,,Planalto,09810-000,,,Avenida José Odorizzi,620,
São Paulo,Casa Branca,,,Brazil,,,SANTA CASA DE CASA BRANCA,-21.776125,-47.08551600000001,,ROOFTOP,,Centro,13700-000,,,Praça Doutor Carvalho,204,
São Paulo,Porto Ferreira,,,Brazil,,,HOSPITAL DONA BALBINA,-21.8546954,-47.4815464,,ROOFTOP,,Centro,13660-000,,,Rua Doutor Carlindo Valeriani,337,
São Paulo,Mauá,,,Brazil,,,HOSPITAL DE CLINICAS DR RADAMES NARDINI,-23.6724151,-46.4504642,,ROOFTOP,,Vila Bocaina,09310-640,,,Rua Regente Feijó,166,
São Paulo,Bebedouro,,,Brazil,,,HOSPITAL MUNICIPAL DE BEBEDOURO JULIA PINTO CALDEIRA,-20.9346575,-48.4965572,,ROOFTOP,,Jardim Julia,14706-045,,,Avenida Raul Furquim,2010,
São Paulo,Poá,,,Brazil,,,HOSPITAL MUNICIPAL DR GUIDO GUIDA,-23.5153544,-46.3472162,,ROOFTOP,,Jardim Medina,08556-230,,,Rua Barão de Juparanã,43,
São Paulo,Chavantes,,,Brazil,,,SANTA CASA DE CHAVANTES,-23.0355262,-49.7112488,,ROOFTOP,,Centro,18970-000,,,Rua Maria Ferreira,22,
São Paulo,Adamantina,,,Brazil,,,CLINICA NOSSO LAR ADAMANTINA,-21.6787969,-51.0625684,,ROOFTOP,,Vila Jardim,17800-000,,,Rua Hermenegildo Lopes Pedroso,500,
São Paulo,Tupã,,,Brazil,,,CASA DA CRIANCA DE TUPA,-21.9414156,-50.5255585,,ROOFTOP,,Vila das Industrias,17604-310,,,Rua João José Sabongi,495,
São Paulo,Araras,,,Brazil,,,CLINICA SAYAO ARARAS,-22.3706003,-47.3927554,,ROOFTOP,,Jardim Belvedere,13601-200,,,Avenida Padre Alarico Zacarias,1253,
São Paulo,Bernardino de Campos,,,Brazil,,,SANTA CASA HOSPITAL JESUS MARIA JOSE,-23.0169102,-49.473707,,ROOFTOP,,,18960-000,,,Avenida Guilherme Arruda Castanho,469,
São Paulo,Paraguaçu Paulista,,,Brazil,,,SANTA CASA DE PARAGUACU PAULISTA,-22.4140878,-50.5791261,,ROOFTOP,,Centro,19700-000,,,Rua Caramuru,568,
São Paulo,Araraquara,,,Brazil,,,SANTA CASA DE ARARAQUARA,-21.7900312,-48.1797147,,ROOFTOP,,Centro,14801-150,,,Avenida José Bonifácio,794,
São Paulo,Ibirá,,,Brazil,,,SANTA CASA DE IBIRA,-21.0818622,-49.2378285,,ROOFTOP,,Centro,15860-000,,,Avenida José Bueno Cavalheiro,600,
São Paulo,Iacri,,,Brazil,,,SANTA CASA DE IACRI,-21.858567,-50.6882539,,ROOFTOP,,,17680-000,,,Rua Bandeirantes,1341,
São Paulo,Osvaldo Cruz,,,Brazil,,,SANTA CASA DE MISERICORDIA DE OSVALDO CRUZ,-21.8038174,-50.8769151,,ROOFTOP,,Vila Sao Luis,17700-000,,,Avenida Presidente Vargas,1,
São Paulo,São Caetano do Sul,,,Brazil,,,COMPLEXO HOSPITALAR MARCIA E MARIA BRAIDO,-23.6226236,-46.563381,,ROOFTOP,,Santa Paula,09540-430,,,Rua Luís Louza,48,
São Paulo,Sorocaba,,,Brazil,,,HOSPITAL PSIQUIATRICO VERA CRUZ SOROCABA,-23.4890986,-47.4462845,,ROOFTOP,,Jardim Santa Rosália,18095-340,,,Avenida Pereira da Silva,926,
São Paulo,São Paulo,,,Brazil,,,HOSP STA CRUZ,-23.5971438,-46.63301329999999,,ROOFTOP,,Vila Mariana,04122-000,,,Rua Santa Cruz,398,
São Paulo,Barra Bonita,,,Brazil,,,HOSPITAL E MATERNIDADE SAO JOSE BARRA BONITA,-22.4952173,-48.55582990000001,,ROOFTOP,,Centro,17340-000,,,Rua 14 de Dezembro,490,
São Paulo,Ibitinga,,,Brazil,,,SANTA CASA DE CARIDADE E MATERNIDADE IBITINGA,-21.7525849,-48.8277553,,ROOFTOP,,Centro,14940-000,,,Rua Domingos Robert,1090,
São Paulo,Nova Granada,,,Brazil,,,SANTA CASA DE NOVA GRANADA,-20.5381627,-49.3244528,,ROOFTOP,,Centro,15440-000,,,Avenida Doutor Hildeberto Albuquerque Ferreira,1271,
São Paulo,Monte Aprazível,,,Brazil,,,SANTA CASA DE MONTE APRAZIVEL,-20.771601,-49.708578,,ROOFTOP,,Centro,15150-000,,,Rua São João,729,
São Paulo,Araçatuba,,,Brazil,,,ASSOCIACAO DE AMPARO AO EXCEPCIONAL RITINHA PRATES,-21.1871948,-50.4606001,,ROOFTOP,,Paraíso,16075-050,,,Rua Wandenkolk,2606,
São Paulo,Araçatuba,,,Brazil,,,HOSPITAL BENEDITA FERNANDES ARACATUBA,-21.1949191,-50.4365554,,ROOFTOP,,Santana,16050-535,,,Rua Benedita Fernandes,445,
São Paulo,Andradina,,,Brazil,,,SANTA CASA DE ANDRADINA,-20.8939235,-51.3745728,,ROOFTOP,,Centro,16901-901,,,Avenida Guanabara,730,
São Paulo,São Roque,,,Brazil,,,HOSPITAL E MATERNIDADE SOTERO DE SOUZA,-23.537753,-47.1386715,,ROOFTOP,,Centro,18130-565,,,Rua Santa Isabel,186,
São Paulo,Angatuba,,,Brazil,,,HOSPITAL ANGATUBA,-23.4926586,-48.4149903,,GEOMETRIC_CENTER,,Centro,18240-000,,,,,
São Paulo,Salto Grande,,,Brazil,,,SANTA CASA DE SALTO GRANDE,-22.8869944,-49.9847283,,ROOFTOP,,,19920-000,,,Rua Olímpio Pímentel,2,
São Paulo,Cesário Lange,,,Brazil,,,BENEFICENCIA HOSPITALAR DE CESARIO LANGE,-23.2194828,-47.9457851,,ROOFTOP,,Distrito Industrial Urbano,18285-000,,,Avenida São Paulo,325,
São Paulo,Divinolândia,,,Brazil,,,CONDERG HOSPITAL REGIONAL DE DIVINOLANDIA,-21.6681788,-46.74253849999999,,ROOFTOP,,Centro,13780-000,,,Rua Leonor Mendes de Barros,626,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN PROFESSOR DR ALIPIO CORREA NETTO,-23.4997442,-46.4728178,,ROOFTOP,,Vila Paranagua,03807,,,Alameda Rodrigo de Brum,1989,
São Paulo,Olímpia,,,Brazil,,,SANTA CASA DE OLIMPIA,-20.7360406,-48.9182727,,ROOFTOP,,Centro,15400-000,,,Rua Síria,139,
São Paulo,Batatais,,,Brazil,,,HOSPITAL MAJOR ANTONIO CANDIDO BATATAIS,-20.8886164,-47.5836801,,ROOFTOP,,Centro,14300-029,,,Rua Doutor Manoel Furtado,235,
,,,,,,,HOSP MUNICIPAL DE URGENCIAS HMU,,,,,,,,,,,,
São Paulo,Rio Claro,,,Brazil,,,SANTA CASA DE RIO CLARO,-22.4154269,-47.55683459999999,,ROOFTOP,,Centro,13500-330,,,Rua Dois,297,
State of São Paulo,Salto de Pirapora,,,Brazil,,,CLINICA PSIQUIATRICA SALTO DE PIRAPORA,-23.650065,-47.572307,,GEOMETRIC_CENTER,,Recanto Cidade Nova,18160-000,,,,,
São Paulo,Caraguatatuba,,,Brazil,,,CASA DE SAUDE STELLA MARIS,-23.6249859,-45.42301270000001,,ROOFTOP,,Centro,11660-650,,,Avenida Miguel Varlez,980,
São Paulo,Taguaí,,,Brazil,,,SANTA CASA DE MISERICORDIA DE TAGUAI,-23.4548808,-49.4075284,,ROOFTOP,,Vila dos Martins,18890-000,,,Rua João Carniato,90,
São Paulo,Macatuba,,,Brazil,,,SANTA CASA DE MACATUBA,-22.5043576,-48.7136457,,ROOFTOP,,CENTRO,17290-000,,,Rua Carlos Gomes,654,
São Paulo,Biritiba-Mirim,,,Brazil,,,PRONTO SOC HOSPMUNBIRITIBA MIRIM DRARTHUR ALBERTO NARDY,-23.5704516,-46.0409059,Biritiba-Mirim,APPROXIMATE,,,08940-000,,,,,
São Paulo,Mirandópolis,,,Brazil,,,HOSPITAL ESTADUAL DE MIRANDOPOLIS DR OSWALDO BRANDI FARIA,-21.125539,-51.1035341,,ROOFTOP,,Centro,16800-000,,,Avenida Doutor Raul da Cunha Bueno,585,
São Paulo,Pereira Barreto,,,Brazil,,,SANTA CASA DE MISERICORDIA DE PEREIRA BARRETO,-20.6531949,-51.11554719999999,,ROOFTOP,,Centro,15370-000,,,Rua Dermival Franceschi,505,
São Paulo,Aparecida,,,Brazil,,,SANTA CASA DE APARECIDA,-22.8405734,-45.2269256,,ROOFTOP,,Centro,12570-000,,,Rua Barão do Rio Branco,470,
São Paulo,Jaú,,,Brazil,,,HOSPITAL AMARAL CARVALHO JAU,-22.2914836,-48.5499753,,ROOFTOP,,Chácara Braz Miraglia,17210-070,,,Rua Doná Silvéria,150,
São Paulo,Assis,,,Brazil,,,HOSPITAL REGIONAL DE ASSIS,-22.6601936,-50.4101121,,ROOFTOP,,Centro,19800-000,,,Praça Doutor Symphronio Alves dos Santos,s/n,
São Paulo,Marília,,,Brazil,,,SANTA CASA DE MARILIA,-22.2127563,-49.9391129,,ROOFTOP,,Cascata,17515-900,,,Avenida Vicente Ferreira,828,
São Paulo,Santa Isabel,,,Brazil,,,SANTA CASA DE SANTA ISABEL,-23.31906,-46.2241931,,ROOFTOP,,Parque Sao Benedito,07500-000,,,Avenida Guilherme Alfieri,201-279,
São Paulo,Rio Claro,,,Brazil,,,BEZERRA DE MENEZES RIO CLARO,-22.4226198,-47.5634019,,ROOFTOP,,Estádio,13501-110,,,Avenida 25,1111,
São Paulo,Sorocaba,,,Brazil,,,HOSPITAL TEIXEIRA LIMA SOROCABA,-23.502558,-47.4271729,,ROOFTOP,,Vila Haro,18015-360,,,Rua Emílio Kerche de Menezes,258,
São Paulo,Piedade,,,Brazil,,,SANTA CASA PIEDADE,-23.7130712,-47.4192502,,ROOFTOP,,Centro,18170-000,,,Rua Quintino Bocaiuva,154,
State of São Paulo,Mairinque,,,Brazil,,,BENEFICENCIA HOSPITALAR DE MAIRINQUE MAIRINQUE,-23.5378893,-47.18567909999999,Mairinque,APPROXIMATE,,,,,,,,
São Paulo,Terra Roxa,,,Brazil,,,HOSPITAL TERRA ROXA,-20.7892474,-48.3313678,,ROOFTOP,,Centro,14745-000,,,Rua Fernando Costa,02,
São Paulo,Promissão,,,Brazil,,,CLINICA DE REPOUSO DOM BOSCO,-21.5347739,-49.8587315,,ROOFTOP,,Centro,16370-000,,,Rua Genaro Samarco,134,
São Paulo,Guapiara,,,Brazil,,,HOSPITAL MUNICIPAL JOAQUIM RAIMUNDO GOMES GUAPIARA,-24.1847334,-48.5289583,,ROOFTOP,,Centro,18310-000,,,Rua 21 de Abril,19,
São Paulo,Bertioga,,,Brazil,,,HOSPITAL MUNICIPAL DE BERTIOGA,-23.8429362,-46.1396987,,ROOFTOP,,Vila Itapanhaú,11250-000,,,Praça Vicente Molinari,S/n,
São Paulo,Pontal,,,Brazil,,,SANTA CASA DE PONTAL,-21.0282007,-48.0378549,,ROOFTOP,,Jardim Residencial,14180-000,,,Rua Ananias da Costa Freitas,691-705,
São Paulo,Avaré,,,Brazil,,,SANTA CASA DE AVARE,-23.1012046,-48.9285448,,ROOFTOP,,Centro,18700-110,,,Rua Paraíba,1003,
São Paulo,Francisco Morato,,,Brazil,,,SANTA CASA DE FRANCISCO MORATO,-23.2790521,-46.738895,,ROOFTOP,,Belem Capela,07990-050,,,Rua dos Cravos,Nº 230,
Bahia,Itabuna,,,Brazil,,,SANTA CASA DE GUARA,-14.7835852,-39.2744221,,ROOFTOP,,Castalia,45602-748,,,Rua Major Dórea,86,
São Paulo,Sumaré,,,Brazil,,,HOSPITAL ESTADUAL SUMARE,-22.8166533,-47.2415642,,ROOFTOP,,Jardim Bela Vista,13175-490,,,Avenida da Amizade,2400,
,,,,,,,UNIDADE MISTA DE SAUDE DR JOSE ORLANDO S BORGATTO,,,,,,,,,,,,
São Paulo,Nazaré Paulista,,,Brazil,,,HOSPITAL MUNICIPAL DE NAZARE PAULISTA,-23.1605291,-46.3947323,,ROOFTOP,,,12960-000,,,Ezau Avelino Pinheiro,100,
São Paulo,Santa Cruz do Rio Pardo,,,Brazil,,,SANTA CASA MISER STACRUZ RIO PARDO,-22.9014635,-49.6268776,,ROOFTOP,,Centro,18900-000,,,Avenida Doutor Ciro Melo Camarinha,530,
São Paulo,Tabapuã,,,Brazil,,,HOSP MARIA VALLE PEREIRA DE TABAPUA,-20.9658345,-49.0262275,,ROOFTOP,,CENTRO,15880-000,,,Rua Adinael Moreira,1683,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN DR BENEDITO MONTENEGRO,-23.588119,-46.5143153,,ROOFTOP,,Jardim Iva,03921-080,,,Rua Antônio Lázaro,226,
,,,,,,,HOSPITAL DA REABILITACAO DO ABC,,,,,,,,,,,,
São Paulo,Diadema,,,Brazil,,,HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA,-23.7067207,-46.6091735,,ROOFTOP,,Vila Conceicao,09960-120,,,Rua José Bonifácio,1641,
São Paulo,Sertãozinho,,,Brazil,,,HOSPITAL E MATERNIDADE SAO JOSE SERTAOZINHO,-21.1349496,-47.9916098,,ROOFTOP,,Centro,14160-180,,,Rua Epitácio Pessoa,1741,
,,,,,,,CEDEME CENTRO DESENVOLV PORTADOR DEFICIENCIA MENTAL ITU,,,,,,,,,,,,
São Paulo,São João da Boa Vista,,,Brazil,,,SANTA CASA DE MISERICORDIA DONA CAROLINA MALHEIROS SJBV,-21.9819108,-46.79528639999999,,ROOFTOP,,Vila Conrado,13870-720,,,Rua Carolina Malheiros,92,
São Paulo,Mogi das Cruzes,,,Brazil,,,COMPLEXO HOSPITALAR DR ARNALDO PEZZUTI CAVALCANTI,-23.5836146,-46.24391989999999,,GEOMETRIC_CENTER,,Jundiapeba,08751-600,,,,,
Lombardia,Città Metropolitana di Milano,Milano,,Italy,,,IRPSI,45.4544747,9.20335,Milano,ROOFTOP,,,20122,,,Viale Emilio Caldara,20,
São Paulo,Campinas,,,Brazil,,,SOBRAPAR CAMPINAS,-22.8275448,-47.0682751,,ROOFTOP,,Jardim Santa Genebra,,,,Avenida Adolfo Lutz,100,
SP,Águas de Lindóia,,,Brazil,,,CLINICA CRISTALIA ITAPIRA,-22.472466,-46.6052792,,ROOFTOP,,Ponte Preta,13970-970,,,Rodovia Itapira-Lindóia (SP-147),Km 30.5,
São Paulo,Itapira,,,Brazil,,,SANTA CASA DE MISERICORDIA DE ITAPIRA,-22.4365415,-46.8266648,,ROOFTOP,,Santa Cruz,13974-347,,,Praça Coronel Souza Ferreira,32,
São Paulo,Votuporanga,,,Brazil,,,CASA DE SAUDE E MATER N S APARECIDA VOTUPORANGA,-20.4231379,-49.9714548,,ROOFTOP,,Parque Kennedy,15505-160,,,Rua Sergipe,3260,
São Paulo,Amparo,,,Brazil,,,CLINICA FAZENDA PALMEIRAS,-22.6962359,-46.7784236,,ROOFTOP,,Jardim Santo Antonio,13901-260,,,Avenida Alan Kardec,1100,
São Paulo,Espírito Santo do Pinhal,,,Brazil,,,INSTITUTO BEZERRA DE MENEZES ESPIRITO SANTO DO PINHAL,-22.1908695,-46.7424434,,ROOFTOP,,Centro,13990-000,,,Rua Doutor Abelardo V César,33,
São Paulo,Ribeirão Preto,,,Brazil,,,SANTA CASA DE RIBEIRAO PRETO,-21.1678607,-47.8060903,,ROOFTOP,,Campos Elísios,14085-000,,,Avenida Saudade,nº456,
São Paulo,São Pedro,,,Brazil,,,SANTA CASA DE SAO PEDRO,-22.5457928,-47.914507,,ROOFTOP,,Vila Nova,13520-000,,,Rua Malaquias Guerra,254,
São Paulo,Conchal,,,Brazil,,,HOSPITAL E MATERNIDADE MADRE VANNINI CONCHAL SP,-22.3380639,-47.1739128,,ROOFTOP,,Centro,13835-000,,,Rua Angélicas,730,
São Paulo,Sorocaba,,,Brazil,,,HOSPITAL JARDIM DAS ACACIAS SOROCABA,-23.4841105,-47.4424066,,ROOFTOP,,Jardim Santa Rosália,18090-000,,,Avenida Roberto Símonsen,987,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN DR IGNACIO PROENCA DE GOUVEA,-23.5719621,-46.5902671,,ROOFTOP,,Parque da Mooca,03124-020,,,Rua Juventus,562,
São Paulo,Itapira,,,Brazil,,,INSTITUTO AMERICO BAIRRAL DE PSIQUIATRIA,-22.4431814,-46.820491,,ROOFTOP,,Vila Pereira,13970-450,,,Rua Doutor Hortêncio Pereira da Silva,313,
Minas Gerais,Belo Horizonte,,,Brazil,,,HOSPITAL SAO FRANCISCO DE ASSIS,-19.9027284,-43.9335562,,ROOFTOP,,Concórdia,31110-580,,,Rua Itamaracá,535,
São Paulo,São José dos Campos,,,Brazil,,,CVV FRANCISCA JULIA,-23.2543604,-45.8620254,,ROOFTOP,,Torrão de Ouro,12229,,,Estrada Doutor Bezerra de Menezes,700,
São Paulo,São José dos Campos,,,Brazil,,,HOSPITAL ARGIA PROVISAO,-23.2399077,-45.8834373,,ROOFTOP,,Bosque dos Eucaliptos,12233-000,,,Avenida Andrômeda,3061,
São Paulo,Caieiras,,,Brazil,,,UNIDADE MISTA DE SAUDE ROSA SANTA PASIN AGUIAR,-23.3667856,-46.75069,,ROOFTOP,,Região Central,07700-600,,,Rua Albert Hanser,80,
